Year;Sport;Samples;Total findings;% findings
2003;Aquatics;9.270;52;0,56%
2004;Aquatics;9.518;58;0,61%
2005;Aquatics;10.352;130;1,26%
2006;Aquatics;11.582;137;1,18%
2007;Aquatics;12.550;154;1,23%
2008;Aquatics;14.020;169;1,21%
2009;Aquatics;13.995;156;1,11%
2010;Aquatics;13.138;155;1,18%
2003;Archery;685;11;1,61%
2004;Archery;721;3;0,42%
2005;Archery;850;25;2,94%
2006;Archery;845;11;1,30%
2007;Archery;1.063;14;1,32%
2008;Archery;1.000;17;1,70%
2009;Archery;975;18;1,85%
2010;Archery;1.156;21;1,82%
2003;Athletics;18.876;276;1,46%
2004;Athletics;19.991;229;1,15%
2005;Athletics;20.464;342;1,67%
2006;Athletics;19.781;315;1,59%
2007;Athletics;23.305;304;1,30%
2008;Athletics;26.984;361;1,34%
2009;Athletics;26.593;398;1,50%
2010;Athletics;25.013;438;1,75%
2003;Badminton;697;4;0,57%
2004;Badminton;898;7;0,78%
2005;Badminton;890;13;1,46%
2006;Badminton;1.066;10;0,94%
2007;Badminton;993;9;0,91%
2008;Badminton;1.167;15;1,29%
2009;Badminton;1.175;8;0,68%
2010;Badminton;1.250;5;0,40%
2003;Baseball;1.051;26;2,47%
2004;Baseball;8.736;250;2,86%
2005;Baseball;10.580;390;3,69%
2006;Baseball;15.977;370;2,32%
2007;Baseball;16.971;456;2,69%
2008;Baseball;19.429;228;1,17%
2004;Baseball/ Softball;165;8;4,85%
2005;Baseball/Softball;170;11;6,47%
2006;Baseball/Softball;104;6;5,77%
2007;Baseball/Softball;116;9;7,76%
2008;Baseball/Softball;115;7;6,09%
2003;Basketball;3.872;75;1,94%
2004;Basketball;3.990;81;2,03%
2005;Basketball;4.785;103;2,15%
2006;Basketball;7.473;136;1,82%
2007;Basketball;8.674;214;2,47%
2008;Basketball;10.572;264;2,50%
2009;Basketball;11.150;341;3,06%
2010;Basketball;9.575;201;2,10%
2003;Biathlon;893;4;0,45%
2004;Biathlon;804;4;0,50%
2005;Biathlon;998;16;1,60%
2006;Biathlon;1.094;21;1,92%
2007;Biathlon;1.160;13;1,12%
2008;Biathlon;1.297;19;1,46%
2009;Biathlon;2.148;27;1,26%
2010;Biathlon;1.967;18;0,92%
2003;Bobsleigh;756;7;0,93%
2004;Bobsleigh;536;6;1,12%
2005;Bobsleigh;1.101;21;1,91%
2006;Bobsleigh;908;13;1,43%
2007;Bobsleigh;851;16;1,88%
2008;Bobsleigh;1.062;26;2,45%
2009;Bobsleigh;1.440;19;1,32%
2010;Bobsleigh;1.214;19;1,57%
2003;Boxing;1.904;70;3,68%
2004;Boxing;2.205;70;3,17%
2005;Boxing;2.433;83;3,41%
2006;Boxing;2.553;61;2,39%
2007;Boxing;2.757;87;3,16%
2008;Boxing;3.387;115;3,40%
2009;Boxing;3.231;85;2,63%
2010;Boxing;3.874;110;2,84%
2003;Canoe / Kayak;2.250;15;0,67%
2004;Canoe / Kayak;2.570;18;0,70%
2005;Canoe / Kayak;2.921;57;1,95%
2006;Canoe / Kayak;2.918;34;1,17%
2007;Canoe / Kayak;3.426;65;1,90%
2008;Canoe / Kayak;3.817;59;1,55%
2009;Canoe / Kayak;3.821;72;1,88%
2010;Canoe / Kayak;3.726;50;1,34%
2003;Curling;232;2;0,86%
2004;Curling;158;3;1,90%
2005;Curling;349;9;2,58%
2006;Curling;350;2;0,57%
2007;Curling;220;9;4,09%
2008;Curling;685;17;2,48%
2009;Curling;467;14;3,00%
2010;Curling;477;8;1,68%
2003;Cycling;12.352;486;3,93%
2004;Cycling;13.199;607;4,60%
2005;Cycling;12.751;482;3,78%
2006;Cycling;14.229;594;4,17%
2007;Cycling;16.462;643;3,91%
2008;Cycling;19.436;732;3,77%
2009;Cycling;21.835;724;3,32%
2010;Cycling;21.427;613;2,86%
2003;Equestrian;605;13;2,15%
2004;Equestrian;718;11;1,53%
2005;Equestrian;620;9;1,45%
2006;Equestrian;579;8;1,38%
2007;Equestrian;878;12;1,37%
2008;Equestrian;845;23;2,72%
2009;Equestrian;462;12;2,60%
2010;Equestrian;723;17;2,35%
2003;Fencing;1.494;19;1,27%
2004;Fencing;1.586;15;0,95%
2005;Fencing;1.781;31;1,74%
2006;Fencing;1.837;11;0,60%
