Name;Sex;Country;Sport;Banned substance;Place;Year
Hans Gunnar Liljenwall;M;Sweden;Pentathlon;Ethanol;Mexico City;1968
Bakaava Buidaa;M;Mongolia;Judo;Caffeine;Munich;1972
Rick DeMont;M;United States of America;Swimming;Ephedrine;Munich;1972
Jaime Huelamo;M;Spain;Cycling;Coramine;Munich;1972
Walter Legel;M;Austria;Weightlifting;Amphetamine;Munich;1972
Mohammad Reza Nasehi;M;Iran;Weightlifting;Ephedrine;Munich;1972
Aad van den Hoek;M;Netherlands;Cycling;Coramine;Munich;1972
Blagoi Blagoev;M;Bulgaria;Weightlifting;Anabolic steroid;Montreal;1976
Mark Cameron;M;United States of America;Weightlifting;Anabolic steroid;Montreal;1976
Paul Cerutti;M;Monaco;Shooting;Amphetamine;Montreal;1976
Dragomir Ciorosian;M;Romania;Weightlifting;Fencanfamine;Montreal;1976
Philippe Grippaldi;M;United States of America;Weightlifting;Anabolic steroid;Montreal;1976
Zbigniew Kaczmarek;M;Poland;Weightlifting;Anabolic steroid;Montreal;1976
Valentin Khristov;M;Bulgaria;Weightlifting;Anabolic steroid;Montreal;1976
Lorne Liebel;M;Canada;Sailing;Phenylpropanolamine;Montreal;1976
Arne Norrback;M;Sweden;Weightlifting;Anabolic steroid;Montreal;1976
Peter Pavlasek;M;Slovakia;Weightlifting;Anabolic steroid;Montreal;1976
Danuta Rosani;W;Poland;Athletics;Anabolic steroid;Montreal;1976
Serafim Grammatikopoulos;M;Greece;Weightlifting;Nandrolone;Los Angeles;1984
Vesteinn Hafsteinsson;M;Iceland;Athletics;Nandrolone;Los Angeles;1984
Tomas Johansson;M;Sweden;Wrestling;Methenolone;Los Angeles;1984
Stefan Laggner;M;Austria;Weightlifting;Nandrolone;Los Angeles;1984
Goeran Petersson;M;Sweden;Weightlifting;Nandrolone;Los Angeles;1984
Eiji Shimomura;M;Japan;Volleyball;Testosterone;Los Angeles;1984
Mikiyasu Tanaka;M;Japan;Volleyball;Ephedrine;Los Angeles;1984
Ahmed Tarbi;M;Algeria;Weightlifting;Nandrolone;Los Angeles;1984
Mahmud Tarha;M;Lebanon;Weightlifting;Nandrolone;Los Angeles;1984
Gianpaolo Urlando;M;Italy;Athletics;Testosterone;Los Angeles;1984
Martti Vainio;M;Finland;Athletics;Methenolone;Los Angeles;1984
Anna Verouli;W;Greece;Athletics;Nandrolone;Los Angeles;1984
Alidad;M;Afghanistan;Wrestling;Furosemide;Seoul;1988
Kerrith Brown;M;United Kingdom;Judo;Furosemide;Seoul;1988
Kalman Csengeri;M;Hungary;Weightlifting;Stanozolol;Seoul;1988
Mitko Grablev;M;Bulgaria;Weightlifting;Furosemide;Seoul;1988
Angell Guenchev;M;Bulgaria;Weightlifting;Furosemide;Seoul;1988
Ben Johnson;M;Canada;Athletics;Stanozolol;Seoul;1988
Fernando Mariaca;M;Spain;Weightlifting;Pemoline;Seoul;1988
Jorge Quesada;M;Spain;Pentathlon;Propanolol;Seoul;1988
Andor Szanyi;M;Hungary;Weightlifting;Stanozolol;Seoul;1988
Alexander Watson;M;Australia;Pentathlon;Caffeine;Seoul;1988
Madina Biktagirova;W;Russia;Athletics;Norephedrine;Barcelona;1992
Wu Dan;W;China;Volleyball;Strychnine;Barcelona;1992
Bonnie Dasse;W;United States of America;Athletics;Clenbuterol;Barcelona;1992
Jud Logan;M;United States of America;Athletics;Clenbuterol;Barcelona;1992
Nijole Medvedeva;W;Lithuania;Athletics;Meziocarde;Barcelona;1992
Iva Prandzheva;W;Bulgaria;Athletics;Metadienone;Atlanta;1996
Natalya Shekhodanova;W;Russia;Athletics;Stanozolol;Atlanta;1996
Fritz Aanes;M;Norway;Wrestling;Norandrosterone and noretiochdandone;Sydney;2000
Ashot Danielyan;M;Armenia;Weightlifting;Stanozolol;Sydney;2000
Izabela Dragneva;W;Bulgaria;Weightlifting;Furosemide;Sydney;2000
Stian Grimseth;M;Norway;Weightlifting;Nandrolone;Sydney;2000
Ivan Ivanov;M;Bulgaria;Weightlifting;Furosemide;Sydney;2000
Marion Jones;W;United States of America;Athletics;THG;Sydney;2000
Alexander Leipold;M;Germany;Wrestling;Nandrolone;Sydney;2000
