Name;Sex;Country;Sport;Banned substance;Place;Year
Alois Schloder;M;West Germany;Ice hockey;Ephedrine;Grenoble;1968
Galina Kulakova;W;Soviet Union;Cross-country skiing;Ephedrine;Sapporo;1972
Frantisek Pospisil;M;Czechoslovakia;Ice hockey;Codeine;Sapporo;1972
Batsukh Purevjal;M;Mongolia;Cross-country skiing;Anabolic steroid;Sarajevo;1984
Jaroslaw Morawiecki;M;Poland;Ice hockey;Testosterone;Calgary;1988
Alain Baxter;M;Great Britain;Alpine skiing;Methamphetamine;Salt Lake City;2002
Olga Danilova;W;Russia;Cross-country skiing;Darbepoetin;Salt Lake City;2002
Larisa Lazutina;W;Russia;Cross-country skiing;Darbepoetin;Salt Lake City;2002
Marc Mayer;M;Austria;Cross-country skiing;Possession of blood-transfusion equipment;Salt Lake City;2002
Johann Muehlegg;M;Spain;Cross-country skiing;Darbepoetin;Salt Lake City;2002
Vasily Pankov;M;Belarus;Ice hockey;Nandrolone;Salt Lake City;2002
Achim Walcher;M;Austria;Cross-country skiing;Possession of blood-transfusion equipment;Salt Lake City;2002
Olga Pyleva;W;Russia;Biathlon;Carphedon;Turin;2006
Kornelia Marek;W;Poland;Cross-country skiing;Erythropoietin;Vancouver;2010
Evi Sachenbacher Stehle;W;Germany;Biathlon;Methylhexanamine;Sochi;2014
William Frullani;M;Italy;Bobsleigh;Methylhexanamine;Sochi;2014
Marina Lisogor;W;Ukraine;Cross-country skiing;Trimetazidine;Sochi;2014
Vitalijs Pavlovs;M;Latvia;Ice hockey;Methylhexanamine;Sochi;2014
Johannes Duerr;M;Austria;Cross-country skiing;EPO;Sochi;2014
Nicklas Baeckstroem;M;Sweden;Ice hockey;Pseudoephedrine;Sochi;2014
Daniel Zalewski;M;Poland;Bobsleigh;Stimulant;Sochi;2014
Ralfs Freibergs;M;Latvia;Ice hockey;Dehydrochloromethyltestosterone;Sochi;2014
